customer_id,last_date,recency,frequence,amount,intereval
CS1583,2015-02-15,2567,25,1919,55
CS1584,2015-03-02,2552,21,1512,66
CS1585,2014-12-13,2631,19,1167,68
CS1586,2015-01-02,2611,20,1441,67
CS1587,2015-02-07,2575,27,1900,52
CS1588,2015-03-07,2547,25,1591,57
CS1589,2015-03-01,2553,15,1151,94
CS1590,2014-10-13,2692,16,964,81
CS1591,2014-10-13,2692,18,1144,68
CS1592,2015-02-10,2572,19,1215,72
CS1593,2015-02-20,2562,20,1406,65
CS1594,2015-02-21,2561,13,901,110
CS1595,2014-11-30,2644,10,648,134
CS1596,2015-02-26,2556,19,1342,74
CS1597,2015-01-09,2604,23,1611,59
CS1598,2015-02-05,2577,20,1289,70
CS1599,2015-01-18,2595,15,1028,91
CS1600,2015-02-25,2557,20,1331,71
CS1601,2014-12-27,2617,27,1787,49
CS1602,2015-02-18,2564,20,1401,66
CS1603,2014-11-11,2663,19,1374,67
CS1604,2015-03-01,2553,28,1950,50
CS1605,2015-02-28,2554,27,1685,51
CS1606,2015-03-14,2540,13,781,96
CS1607,2015-01-14,2599,19,1384,73
CS1608,2015-01-26,2587,14,973,102
CS1609,2014-10-30,2675,20,1375,63
CS1610,2015-02-12,2570,19,1326,75
CS1611,2014-07-01,2796,23,1794,51
CS1612,2015-02-25,2557,26,1759,55
CS1613,2014-11-09,2665,21,1347,62
CS1614,2015-03-06,2548,22,1568,64
CS1615,2015-03-13,2541,20,1419,65
CS1616,2015-03-06,2548,19,1434,75
CS1617,2014-12-02,2642,27,1784,45
CS1618,2014-09-22,2713,13,887,92
CS1619,2015-03-05,2549,21,1323,66
CS1620,2014-05-20,2838,16,1320,51
CS1621,2015-02-23,2559,26,1894,46
CS1622,2015-03-16,2538,20,1360,72
CS1623,2015-02-28,2554,26,1777,50
CS1624,2015-02-05,2577,25,1832,54
CS1625,2015-03-11,2543,14,950,99
CS1626,2015-01-14,2599,17,1172,80
CS1627,2014-12-29,2615,16,1043,82
CS1628,2015-02-23,2559,21,1456,67
CS1629,2015-03-13,2541,22,1394,60
CS1630,2015-03-15,2539,20,1393,72
CS1631,2015-02-03,2579,18,1223,75
CS1632,2015-03-08,2546,17,1187,78
CS1633,2015-02-26,2556,26,1763,53
CS1634,2015-03-02,2552,15,1044,96
CS1635,2014-12-10,2634,23,1573,56
CS1636,2015-01-07,2606,19,1347,72
CS1637,2015-02-22,2560,22,1496,60
CS1638,2014-07-29,2768,15,1035,80
